date,value
2016-06-23,1.5018
2016-06-24,1.3679
2016-06-27,1.3225
2016-06-28,1.3344
2016-06-29,1.3429
2016-06-30,1.3311
2016-07-01,1.3267
2016-07-04,1.3287
2016-07-05,1.3022
2016-07-06,1.2931
2016-07-07,1.2908
2016-07-08,1.2954
2016-07-11,1.2998
2016-07-12,1.3247
2016-07-13,1.3147
2016-07-14,1.3343
2016-07-15,1.3192
2016-07-18,1.3255
2016-07-19,1.3184
2016-07-20,1.3208
2016-07-21,1.3233
2016-07-22,1.3109
2016-07-25,1.314
2016-07-26,1.313
2016-07-27,1.3223
2016-07-28,1.3164
2016-07-29,1.323
2016-08-01,1.3179
2016-08-02,1.3357
2016-08-03,1.3325
2016-08-04,1.3107
2016-08-05,1.3073
2016-08-08,1.304
2016-08-09,1.3003
2016-08-10,1.301
2016-08-11,1.2956
2016-08-12,1.292
2016-08-15,1.288
2016-08-16,1.3046
2016-08-17,1.3042
2016-08-18,1.3168
2016-08-19,1.3075
2016-08-22,1.3137
2016-08-23,1.3198
2016-08-24,1.3232
2016-08-25,1.3192
2016-08-26,1.3137
2016-08-29,1.3106
2016-08-30,1.308
2016-08-31,1.3138
2016-09-01,1.3268
2016-09-02,1.3294
2016-09-05,1.3304
2016-09-06,1.344
2016-09-07,1.3341
2016-09-08,1.3295
2016-09-09,1.3267
2016-09-12,1.3337
2016-09-13,1.3193
2016-09-14,1.32
